Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Month,Year
646,CA-2018-126221,30-12-2018,05-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Columbus,Indiana,47201,Central,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",209.3,Dec,2018
907,CA-2018-143259,30-12-2018,03-01-2019,Standard Class,PO-18865,Patrick O'Donnell,Consumer,United States,New York City,New York,10009,East,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",323.136,Dec,2018
1297,CA-2018-115427,30-12-2018,03-01-2019,Standard Class,EB-13975,Erica Bern,Corporate,United States,Fairfield,California,94533,West,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",13.904,Dec,2018
5092,CA-2018-156720,30-12-2018,03-01-2019,Standard Class,JM-15580,Jill Matthias,Consumer,United States,Loveland,Colorado,80538,West,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,3.024,Dec,2018
1878,CA-2018-118885,29-12-2018,02-01-2019,Standard Class,JG-15160,James Galang,Consumer,United States,Los Angeles,California,90049,West,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",393.568,Dec,2018
2875,US-2018-102638,29-12-2018,31-12-2018,First Class,MC-17845,Michael Chen,Consumer,United States,New York City,New York,10035,East,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,6.03,Dec,2018
4240,CA-2018-158673,29-12-2018,04-01-2019,Standard Class,KB-16600,Ken Brennan,Corporate,United States,Grand Rapids,Michigan,49505,Central,OFF-PA-10000994,Office Supplies,Paper,Xerox 1915,209.7,Dec,2018
5132,CA-2018-146626,29-12-2018,05-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Anaheim,California,92804,West,FUR-FU-10002501,Furniture,Furnishings,Nu-Dell Executive Frame,101.12,Dec,2018
5457,CA-2018-130631,29-12-2018,02-01-2019,Standard Class,BS-11755,Bruce Stewart,Consumer,United States,Edmonds,Washington,98026,West,OFF-FA-10000089,Office Supplies,Fasteners,Acco Glide Clips,19.6,Dec,2018
7633,US-2018-158526,29-12-2018,01-01-2019,Second Class,KH-16360,Katherine Hughes,Consumer,United States,Louisville,Kentucky,40214,South,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,1207.84,Dec,2018
271,CA-2018-163979,28-12-2018,02-01-2019,Second Class,KH-16690,Kristen Hastings,Corporate,United States,San Francisco,California,94110,West,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84,Dec,2018
571,CA-2018-164826,28-12-2018,04-01-2019,Standard Class,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,10024,East,OFF-LA-10001297,Office Supplies,Labels,Avery 473,72.45,Dec,2018
954,CA-2018-136539,28-12-2018,01-01-2019,Standard Class,GH-14665,Greg Hansen,Consumer,United States,Round Rock,Texas,78664,Central,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,Dec,2018
2432,CA-2018-129805,28-12-2018,02-01-2019,Standard Class,HM-14860,Harry Marie,Corporate,United States,Seattle,Washington,98103,West,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,7.4,Dec,2018
4288,CA-2018-127516,28-12-2018,03-01-2019,Standard Class,EH-14005,Erica Hernandez,Home Office,United States,Nashville,Tennessee,37211,South,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,64.784,Dec,2018
6090,US-2018-162068,28-12-2018,31-12-2018,Second Class,PC-18745,Pamela Coakley,Corporate,United States,Loveland,Colorado,80538,West,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,1.188,Dec,2018
6150,CA-2018-101322,28-12-2018,31-12-2018,First Class,JG-15310,Jason Gross,Corporate,United States,Long Beach,California,90805,West,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,340.704,Dec,2018
